grand_company,chars_in_rank,grand_company_rank,rank_number
Immortal Flames,868564,Private Third Class,1
Immortal Flames,131726,Private Second Class,2
Immortal Flames,126100,Private First Class,3
Immortal Flames,226434,Corporal,4
Immortal Flames,48608,Sergeant Third Class,5
Immortal Flames,38618,Sergeant Second Class,6
Immortal Flames,87663,Sergeant First Class,7
Immortal Flames,102286,Chief Sergeant,8
Immortal Flames,619969,Second Lieutenant,9
Immortal Flames,151473,First Lieutenant,10
Immortal Flames,220774,Captain,11
Maelstrom,828485,Private Third Class,1
Maelstrom,119668,Private Second Class,2
Maelstrom,117776,Private First Class,3
Maelstrom,220761,Corporal,4
Maelstrom,43566,Sergeant Third Class,5
Maelstrom,35590,Sergeant Second Class,6
Maelstrom,85841,Sergeant First Class,7
Maelstrom,92232,Chief Sergeant,8
Maelstrom,651476,Second Lieutenant,9
Maelstrom,186060,First Lieutenant,10
Maelstrom,285223,Captain,11
Order of the Twin Adder,1731740,Private Third Class,1
Order of the Twin Adder,128914,Private Second Class,2
Order of the Twin Adder,122186,Private First Class,3
Order of the Twin Adder,225301,Corporal,4
Order of the Twin Adder,46358,Sergeant Third Class,5
Order of the Twin Adder,38992,Sergeant Second Class,6
Order of the Twin Adder,89700,Sergeant First Class,7
Order of the Twin Adder,97798,Chief Sergeant,8
Order of the Twin Adder,633515,Second Lieutenant,9
Order of the Twin Adder,145237,First Lieutenant,10
Order of the Twin Adder,219642,Captain,11
