race,grand_company,number_of_chars
Hyur,"Immortal Flames",678306
Miqo'te,"Immortal Flames",648228
"Au Ra","Immortal Flames",428934
Lalafell,"Immortal Flames",354503
Viera,"Immortal Flames",186432
Elezen,"Immortal Flames",160118
Roegadyn,"Immortal Flames",117152
Hrothgar,"Immortal Flames",48343
Miqo'te,Maelstrom,702593
Hyur,Maelstrom,535713
"Au Ra",Maelstrom,484422
Lalafell,Maelstrom,348945
Viera,Maelstrom,228178
Roegadyn,Maelstrom,161948
Elezen,Maelstrom,151482
Hrothgar,Maelstrom,53210
Hyur,none,6638360
Miqo'te,none,4821370
Lalafell,none,2611765
"Au Ra",none,2206022
Elezen,none,1679374
Roegadyn,none,1105050
Viera,none,620682
Hrothgar,none,192108
Hyur,"Order of the Twin Adder",954480
Lalafell,"Order of the Twin Adder",776429
Miqo'te,"Order of the Twin Adder",764587
"Au Ra","Order of the Twin Adder",441004
Elezen,"Order of the Twin Adder",225485
Viera,"Order of the Twin Adder",212059
Roegadyn,"Order of the Twin Adder",70332
Hrothgar,"Order of the Twin Adder",34780
